,TF_IDF_test_scores
116,0.8087606837606838
117,0.8095868644067796
118,0.8096113445378151
119,0.81015625
120,0.8101756198347108
121,0.8099385245901639
122,0.8107215447154471
123,0.8112399193548387
124,0.81075
125,0.8112599206349206
126,0.8107775590551181
127,0.81103515625
128,0.810077519379845
129,0.8100961538461539
130,0.8086832061068703
131,0.8091856060606061
132,0.8089755639097744
133,0.8090018656716418
134,0.8090277777777778
135,0.8097426470588235
136,0.8095346715328468
137,0.8086503623188406
138,0.8086780575539568
139,0.8082589285714286
140,0.8085106382978723
141,0.8089788732394366
142,0.8090034965034965
143,0.8092447916666666
144,0.8092672413793104
145,0.809931506849315
146,0.8095238095238095
147,0.8084881756756757
148,0.8080956375838926
149,0.808125
150,0.8081539735099338
151,0.8092105263157895
152,0.8090277777777778
153,0.8092532467532467
154,0.8092741935483871
155,0.8094951923076923
156,0.8099124203821656
157,0.8087420886075949
158,0.8081761006289309
159,0.8087890625
160,0.8086180124223602
161,0.8092206790123457
162,0.8090490797546013
163,0.8094512195121951
164,0.8092803030303031
165,0.8089231927710844
166,0.8091317365269461
167,0.8080357142857143
168,0.8082470414201184
169,0.8088235294117647
170,0.8084795321637427
171,0.8079578488372093
172,0.8081647398843931
173,0.8081896551724138
174,0.80875
175,0.8089488636363636
176,0.8089689265536724
177,0.808813202247191
178,0.8090083798882681
179,0.8090277777777778
180,0.8092196132596685
181,0.8095810439560439
182,0.8094262295081968
183,0.8094429347826086
184,0.8094594594594594
185,0.8094758064516129
186,0.8094919786096256
187,0.8100066489361702
188,0.8098544973544973
189,0.8098684210526316
190,0.8098821989528796
191,0.80908203125
192,0.8089378238341969
193,0.8091172680412371
194,0.8091346153846154
195,0.8094706632653061
196,0.8099619289340102
197,0.8104482323232324
198,0.8103015075376885
199,0.8096875
200,0.8101679104477612
201,0.8101794554455446
202,0.8106527093596059
203,0.8105085784313726
204,0.8103658536585366
205,0.810376213592233
206,0.8108393719806763
207,0.8109975961538461
208,0.8110047846889952
209,0.8114583333333333
