,COUNT_VEC_test_scores
203,0.8146446078431373
204,0.8140243902439024
205,0.8137135922330098
206,0.8140096618357487
207,0.814453125
208,0.8147428229665071
209,0.815029761904762
210,0.8142772511848341
211,0.8138266509433962
212,0.8129401408450704
213,0.8126460280373832
214,0.8130813953488372
215,0.8133680555555556
216,0.8132200460829493
217,0.8132167431192661
218,0.8132134703196348
219,0.8133522727272727
220,0.8132070135746606
221,0.8130630630630631
222,0.8125
223,0.8125
224,0.8123611111111111
225,0.8122234513274337
226,0.8125
227,0.8119517543859649
228,0.8111353711790393
229,0.8114130434782608
230,0.8104707792207793
231,0.810614224137931
232,0.8108905579399142
233,0.8102297008547008
234,0.8095744680851064
235,0.8095868644067796
236,0.8097310126582279
237,0.8098739495798319
238,0.8100156903765691
239,0.809765625
240,0.8095176348547718
241,0.8097882231404959
242,0.8097993827160493
243,0.8095543032786885
244,0.8093112244897959
245,0.8089430894308943
246,0.8092105263157895
247,0.8092237903225806
248,0.8091114457831325
249,0.809125
250,0.8090139442231076
251,0.8090277777777778
252,0.8092885375494071
253,0.8095472440944882
254,0.8099264705882353
255,0.8096923828125
256,0.8099464980544747
257,0.8097141472868217
258,0.809604247104247
259,0.809375
260,0.8093869731800766
261,0.8093988549618321
262,0.8091730038022814
263,0.8094223484848485
264,0.8096698113207547
265,0.8094454887218046
266,0.8094569288389513
267,0.8094682835820896
268,0.8098280669144982
269,0.810300925925926
270,0.8103090405904059
271,0.8104319852941176
272,0.8104395604395604
273,0.8101049270072993
274,0.8102272727272727
275,0.8097826086956522
276,0.8097924187725631
277,0.809464928057554
278,0.8091397849462365
279,0.809375
280,0.8097197508896797
281,0.8099512411347518
282,0.8100706713780919
283,0.8101892605633803
284,0.8103070175438597
285,0.8098776223776224
286,0.8098867595818815
287,0.8098958333333334
288,0.8100129757785467
289,0.8098060344827587
290,0.8098152920962199
291,0.8098244863013698
292,0.8098336177474402
293,0.8097363945578231
294,0.8097457627118644
295,0.8099662162162162
296,0.8100799663299664
297,0.809878355704698
298,0.8097826086956522
299,0.8095833333333333
300,0.8094892026578073
301,0.8092922185430463
302,0.8096122112211221
303,0.8096217105263158
304,0.809733606557377
305,0.8097426470588235
306,0.8096498371335505
307,0.8095576298701299
308,0.8095671521035599
309,0.8096774193548387
310,0.8097869774919614
311,0.8096955128205128
312,0.8099
