,BOW_test_scores
261,0.8405295801526718
262,0.8406606463878327
263,0.8407907196969697
264,0.8408018867924528
265,0.840578007518797
266,0.8404728464419475
267,0.8403684701492538
268,0.8406133828996283
269,0.8408564814814815
270,0.8410977859778598
271,0.8411075367647058
272,0.8410027472527473
273,0.8407846715328468
274,0.8409090909090909
275,0.8408061594202898
276,0.8407039711191335
277,0.8402652877697842
278,0.840165770609319
279,0.8404017857142857
280,0.8407473309608541
281,0.8406471631205674
282,0.8408789752650176
283,0.8407790492957746
284,0.8408991228070175
285,0.840472027972028
286,0.8403745644599303
287,0.8404947916666666
288,0.840614186851211
289,0.8404094827586207
290,0.8404209621993127
291,0.8402183219178082
292,0.840443686006826
293,0.8404549319727891
294,0.8406779661016949
295,0.8406883445945946
296,0.8411195286195287
297,0.8410234899328859
298,0.8409280936454849
299,0.8408333333333333
300,0.8409468438538206
301,0.8403352649006622
302,0.840552805280528
303,0.8407689144736842
304,0.840983606557377
305,0.840890522875817
306,0.8405944625407166
307,0.8401988636363636
308,0.8402103559870551
309,0.8403225806451613
310,0.8401326366559485
311,0.8399439102564102
312,0.8399
